Jackson Price Entry Workbook,,,,
,,,,
Current entry date,2026-06-12,,,
Grocery items,22,,,
IGA grocery basket,$119.88,,,
Walmart grocery basket,$99.34,,,
Jiffy Mart fuel avg,$3.69,,,
BP fuel avg,$3.75,,,
,,,,
How to use,,,,
Enter or replace prices in the price columns each time you shop.,,,,
Use one dated block per shopping date; copy the existing item rows below when you need a new date.,,,,
Lowest store/station and lowest price calculate automatically.,,,,
"This workbook currently tracks only IGA, Walmart, Jiffy Mart, and BP.",,,,
